,Exoplanet,Host star,a,Ds,Dp,Ds/Dp,d/Ds
223,Kepler-1399 b,Kepler-1399,,1.25,0.96,83.80809031,0
224,Kepler-140 b,Kepler-140,0.045,1.61,1.29,87.43565323,3.748947474
225,Kepler-140 c,Kepler-140,0.414,1.8,1.29,78.20633427,34.49031676
226,Kepler-1401 b,Kepler-1401,0.1,1.23,0.95,84.28362741,11.31261343
227,Kepler-1402 b,Kepler-1402,0.0322,1.6,1.9,129.5860771,1.821330762
228,Kepler-1406 b,Kepler-1406,0.0994,1.06,1.09,112.2135643,9.800459506
229,Kepler-1409 b,Kepler-1409,0.0152,1.04,0.86,90.23807801,1.89946672
230,Kepler-141 b,Kepler-141,0.0409,16.16,18.94,127.8978792,0.232075816
231,Kepler-1416 b,Kepler-1416,,1.379,1.39,109.9955863,0
232,Kepler-1417 b,Kepler-1417,,1.0,1.02,111.3076199,0
233,Kepler-142 d,Kepler-142,0.2305,1.43,1.24,94.62597609,19.97725424
234,Kepler-1423 b,Kepler-1423,,1.06,0.75,77.21116811,0
235,Kepler-1424 b,Kepler-1424,,1.16,1.07,100.6585136,0
236,Kepler-1425 b,Kepler-1425,0.1038,0.72,0.79,119.734504,14.12071912
237,Kepler-1427 b,Kepler-1427,0.0196,1.09,1.01,101.1159346,2.08555309
238,Kepler-1428 b,Kepler-1428,0.095,1.26,1.05,90.93759799,9.723460591
239,Kepler-1429 b,Kepler-1429,0.0549,1.19,1.03,94.45283287,5.72824615
240,Kepler-1431 b,Kepler-1431,0.0648,1.45,1.04,78.26904986,6.69619695
241,Kepler-1433 b,Kepler-1433,0.0516,1.43,1.15,87.7579617,4.822124438
242,Kepler-1436 b,Kepler-1436,0.0881,1.26,1.05,90.93759799,9.017230296
243,Kepler-1437 b,Kepler-1437,,2.316,1.66,78.21575786,0
244,Kepler-1438 b,Kepler-1438,,0.94,0.96,111.4469286,0
245,Kepler-144 b,Kepler-144,0.066,1.33,1.24,101.7407111,5.720168242
246,Kepler-144 c,Kepler-144,,1.58,1.47,101.5277993,0
247,Kepler-1440 b,Kepler-1440,0.226,1.31,1.08,89.9657458,22.48905651
248,Kepler-1441 b,Kepler-1441,,1.31,1.0,83.30161648,0
249,Kepler-1445 b,Kepler-1445,,1.134,1.35,129.9108543,0
250,Kepler-1446 b,Kepler-1446,0.0151,1.86,1.75,102.6714816,0.927311084
251,Kepler-145 b,Kepler-145,0.1732,2.2,1.85,91.76430343,10.06149953
252,Kepler-1452 b,Kepler-1452,,2.712,2.11,84.90191671,0
253,Kepler-1464 c,Kepler-1464,0.0548,0.86,0.93,118.0073946,6.332630701
254,Kepler-1466 b,Kepler-1466,,1.395,0.98,76.66137293,0
255,Kepler-1468 c,Kepler-1468,0.0466,1.62,1.5,101.0417755,3.33872931
256,Kepler-147 b,Kepler-147,0.1098,1.33,1.42,116.509524,8.309990894
257,Kepler-1470 b,Kepler-1470,,1.111,0.79,77.59571818,0
258,Kepler-1471 b,Kepler-1471,,1.262,0.88,76.09358437,0
259,Kepler-1472 b,Kepler-1472,0.2322,1.54,1.11,78.65511723,22.4815261
260,Kepler-1473 b,Kepler-1473,,1.19,1.09,99.95493964,0
261,Kepler-1482 b,Kepler-1482,,1.01,0.84,90.75752354,0
262,Kepler-1483 b,Kepler-1483,0.0958,1.65,1.67,110.4478463,6.165035618
263,Kepler-1485 b,Kepler-1485,0.1467,1.41,1.09,84.35913346,14.46405845
264,Kepler-1487 b,Kepler-1487,0.0898,5.05,3.96,85.57137934,2.437068312
265,Kepler-1488 b,Kepler-1488,0.2278,1.59,1.14,78.24065035,21.47511116
266,Kepler-1488 c,Kepler-1488,,1.652,1.52,100.4056772,0
267,Kepler-1493 b,Kepler-1493,0.1066,0.84,0.8,103.9286834,14.32035453
268,Kepler-150 b,Kepler-150,,1.161,0.88,82.71326743,0
269,Kepler-1500 b,Kepler-1500,0.1124,1.08,0.92,92.9584335,13.13000937
270,Kepler-1501 b,Kepler-1501,,1.148,1.13,107.4140966,0
271,Kepler-1505 b,Kepler-1505,0.1908,1.13,1.06,102.3651546,19.34456897
272,Kepler-1506 b,Kepler-1506,,1.32,0.93,76.88360558,0
273,Kepler-1507 b,Kepler-1507,0.1234,0.81,0.85,114.5140123,15.60209026
274,Kepler-1508 b,Kepler-1508,0.138,0.98,0.92,102.4439879,16.12047414
275,Kepler-1511 b,Kepler-1511,0.1753,2.18,1.69,84.59699483,11.14760993
276,Kepler-1514 c,Kepler-1514,0.0969,1.92,2.27,129.0177172,4.587588675
277,Kepler-1525 b,Kepler-1525,,0.91,1.04,124.7144201,0
278,Kepler-1528 b,Kepler-1528,0.0296,1.29,1.0,84.59311441,3.181106897
279,Kepler-1531 b,Kepler-1531,0.022,1.45,1.71,128.6923801,1.382652753
280,Kepler-1537 b,Kepler-1537,0.0245,2.03,1.45,77.94651257,1.815869501
281,Kepler-154 f,Kepler-154,,1.453,1.07,80.36054771,0
282,Kepler-1541 b,Kepler-1541,0.0781,1.95,1.53,85.62124611,5.485878127
283,Kepler-1542 d,Kepler-1542,,1.007,1.18,127.872531,0
284,Kepler-1547 b,Kepler-1547,,1.191,1.23,112.6984842,0
285,Kepler-1553 b,Kepler-1553,0.0481,1.1,0.82,81.34781493,6.304022813
286,Kepler-1557 b,Kepler-1557,,1.376,1.06,84.06440745,0
287,Kepler-1558 b,Kepler-1558,,0.68,0.79,126.7777101,0
288,Kepler-1559 b,Kepler-1559,0.0187,0.7,0.82,127.8322806,2.450836312
289,Kepler-1560 b,Kepler-1560,,0.89,1.02,125.0647415,0
290,Kepler-1561 b,Kepler-1561,,1.09,1.11,111.1274133,0
291,Kepler-1563 b,Kepler-1563,0.0442,0.75,0.88,128.040138,5.39791634
292,Kepler-1566 b,Kepler-1566,,0.73,0.75,112.1148468,0
293,Kepler-1568 b,Kepler-1568,,1.294,1.25,105.4145263,0
294,Kepler-1569 b,Kepler-1569,0.064,1.25,1.09,95.15710254,6.310155014
295,Kepler-157 b,Kepler-157,0.028,1.16,0.92,86.54750706,3.27082084
296,Kepler-157 d,Kepler-157,,1.46,1.03,76.98552816,0
297,Kepler-1570 b,Kepler-1570,,2.134,1.81,92.55691792,0
298,Kepler-1571 b,Kepler-1571,0.0432,1.61,1.48,100.3137727,3.13695713
299,Kepler-1572 b,Kepler-1572,,1.363,1.46,116.8911751,0
300,Kepler-1573 b,Kepler-1573,0.0364,1.06,0.96,98.83029518,4.074897629
301,Kepler-1574 b,Kepler-1574,,1.29,1.08,91.36056357,0
302,Kepler-1575 b,Kepler-1575,,1.328,0.97,79.70735246,0
303,Kepler-1576 b,Kepler-1576,0.0727,1.15,1.24,117.6653442,6.300851988
304,Kepler-1577 b,Kepler-1577,,0.982,0.69,76.67650829,0
305,Kepler-1578 b,Kepler-1578,,1.045,0.89,92.93909537,0
306,Kepler-1579 b,Kepler-1579,0.014,0.59,0.51,94.32849148,2.95015213
307,Kepler-1580 b,Kepler-1580,,2.11,2.15,111.1938402,0
308,Kepler-1584 b,Kepler-1584,,1.588,1.21,83.14949136,0
309,Kepler-1586 b,Kepler-1586,,1.52,1.75,125.6374709,0
310,Kepler-1587 b,Kepler-1587,0.0878,1.14,1.27,121.5692099,7.429803828
311,Kepler-1589 b,Kepler-1589,,1.09,1.25,125.1434835,0
312,Kepler-1590 b,Kepler-1590,,0.964,1.04,117.7283426,0
313,Kepler-1591 b,Kepler-1591,0.0794,0.93,0.91,106.7783409,9.377037704
314,Kepler-1592 b,Kepler-1592,,1.937,1.61,90.70285974,0
315,Kepler-1594 b,Kepler-1594,,1.06,1.08,111.1840821,0
316,Kepler-1595 b,Kepler-1595,0.051,1.22,0.86,76.92426322,6.373210706
317,Kepler-1598 b,Kepler-1598,,0.799,0.93,127.0167201,0
318,Kepler-1602 b,Kepler-1602,0.1008,0.97,1.03,115.8751249,10.51743555
319,Kepler-1603 b,Kepler-1603,,1.884,2.07,119.8986165,0
320,Kepler-1605 b,Kepler-1605,0.4506,5.18,4.0,84.26650007,12.10647608
321,Kepler-1607 b,Kepler-1607,,1.918,2.12,120.6179611,0
322,Kepler-1611 b,Kepler-1611,,0.81,0.93,125.2918017,0
323,Kepler-1612 b,Kepler-1612,0.0482,0.94,0.87,100.998779,5.954075505
324,Kepler-1617 b,Kepler-1617,0.181,1.52,1.71,122.7657573,11.37546128
325,Kepler-162 b,Kepler-162,,1.56,1.2,83.94239815,0
326,Kepler-1620 b,Kepler-1620,0.4322,1.31,1.05,87.46669731,44.23662808
327,Kepler-1622 b,Kepler-1622,0.1006,1.15,1.19,112.9207739,9.085264416
328,Kepler-1623 b,Kepler-1623,,1.31,1.0,83.30161648,0
329,Kepler-1626 b,Kepler-1626,0.0537,1.24,1.18,103.84487,4.890787916
330,Kepler-163 b,Kepler-163,0.078,1.05,0.92,95.61438875,9.111572339
331,Kepler-1631 b,Kepler-1631,,1.35,0.95,76.79174942,0
332,Kepler-1633 b,Kepler-1633,0.6407,1.06,0.92,94.71236621,74.84338971
333,Kepler-1637 b,Kepler-1637,,0.89,1.02,125.0647415,0
334,Kepler-164 b,Kepler-164,0.058,1.41,1.15,89.00275548,5.420217391
335,Kepler-1671 b,Kepler-1671,0.0491,1.07,0.85,86.68817753,6.207962982
336,Kepler-168 b,Kepler-168,0.056,1.46,1.11,82.96498666,5.421901212
337,Kepler-1686 b,Kepler-1686,0.089,1.0,0.98,106.9426152,9.760014954
338,Kepler-1688 b,Kepler-1688,0.0608,2.53,1.83,78.93239731,3.57058225
339,Kepler-1689 b,Kepler-1689,0.0791,0.84,1.0,129.9108543,8.500863362
340,Kepler-169 b,Kepler-169,0.0407,1.3,0.94,78.90585426,4.653214875
341,Kepler-1691 b,Kepler-1691,0.0495,1.72,1.19,75.49935461,4.470383584
342,Kepler-1692 b,Kepler-1692,0.0646,1.0,0.9,98.21260583,7.713945402
343,Kepler-1693 b,Kepler-1693,0.1011,1.39,1.1,86.35800673,9.877454154
344,Kepler-1693 c,Kepler-1693,,0.977,1.1,122.8634896,0
