pl_name (Exoplanet),hostname (Host star),pl_orbsmax (d),pl_rade (Dp),st_rad (Ds),Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
Kepler-126 c,Kepler-126,,1.498,1.45,1.498,1.45,105.6284516,0
Kepler-1263 b,Kepler-1263,,1.075,0.8,1.075,0.8,81.20938984,0
Kepler-1264 b,Kepler-1264,0.0174,0.99,0.87,0.99,0.87,95.89783061,2.149396552
Kepler-1269 b,Kepler-1269,0.2227,1.54,1.11,1.54,1.11,78.65511723,21.56173928
Kepler-127 b,Kepler-127,0.125,1.4,1.36,1.4,1.36,106.0072571,9.877741506
Kepler-1270 b,Kepler-1270,,3.32,3.38,3.32,3.38,111.0972583,0
Kepler-1271 b,Kepler-1271,0.042,1.15,1.02,1.15,1.02,96.78923473,4.425228195
Kepler-1275 b,Kepler-1275,0.0488,1.32,1.27,1.32,1.27,104.9915904,4.12954928
Kepler-1276 b,Kepler-1276,0.112,1.18,1.19,1.18,1.19,110.0499067,10.1148073
Kepler-1278 b,Kepler-1278,0.044,1.08,0.98,1.08,0.98,99.02094004,4.825175932
Kepler-1279 b,Kepler-1279,,2.363,1.98,2.363,1.98,91.43788948,0
Kepler-128 b,Kepler-128,,1.43,1.61,1.43,1.61,122.8611464,0
Kepler-128 c,Kepler-128,,1.48,1.7,1.48,1.7,125.3464189,0
Kepler-1280 b,Kepler-1280,,1.87,1.32,1.87,1.32,77.02949477,0
Kepler-1283 b,Kepler-1283,0.1062,1.13,0.87,1.13,0.87,84.01668346,13.11873068
Kepler-1288 b,Kepler-1288,,1.12,1.29,1.12,1.29,125.6887515,0
Kepler-1289 b,Kepler-1289,,1.54,1.21,1.54,1.21,85.74116382,0
Kepler-129 b,Kepler-129,,2.409,1.75,2.409,1.75,79.27312403,0
Kepler-129 c,Kepler-129,,2.21,1.56,2.21,1.56,77.02949477,0
Kepler-1296 b,Kepler-1296,0.0758,1.04,0.98,1.04,0.98,102.8294377,8.312462175
Kepler-1297 b,Kepler-1297,,0.97,0.99,0.97,0.99,111.37512,0
Kepler-130 b,Kepler-130,0.08,1.03,1.11,1.03,1.11,117.6008549,7.745573159
Kepler-130 d,Kepler-130,0.381,1.09,1.11,1.09,1.11,111.1274133,36.88829217
Kepler-1300 b,Kepler-1300,0.163,1.37,1.39,1.37,1.39,110.718185,12.6025769
Kepler-1303 b,Kepler-1303,0.075,1.16,0.88,1.16,0.88,82.78457197,9.159360306
Kepler-1311 b,Kepler-1311,0.098,1.37,1.24,1.37,1.24,98.77017943,8.493583148
Kepler-1311 c,Kepler-1311,,1.22,1.4,1.22,1.4,125.2255448,0
Kepler-1312 c,Kepler-1312,0.02,0.84,0.78,0.84,0.78,101.3304663,2.755636605
Kepler-132 b,Kepler-132,0.0641,1.04,1.04,1.04,1.04,109.1251176,6.623861489
Kepler-132 c,Kepler-132,0.068,1.28,1.18,1.28,1.18,100.5997178,6.193176505
Kepler-132 d,Kepler-132,,1.43,1.1,1.43,1.1,83.94239815,0
Kepler-132 e,Kepler-132,,1.18,1.1,1.18,1.1,101.7268045,0
Kepler-1323 b,Kepler-1323,,1.289,1.23,1.289,1.23,104.1302519,0
Kepler-1328 b,Kepler-1328,,0.98,0.99,0.98,0.99,110.2386392,0
Kepler-133 b,Kepler-133,,1.59,1.32,1.59,1.32,90.59443725,0
